"quadrat","shapefiles","grazing","paddock"
"E1 Q1","Q1","no","NA"
"E1 Q2","Q2","no","NA"
"E1 Q3","Q3","no","NA"
"E1 Q4","Q4","no","NA"
"E1 Q5","Q5","no","NA"
"E1 Q6","Q6","no","NA"
"P1 E1 Q1","Q7","no","NA"
"P1 E1 Q2","Q8","no","NA"
"P1 E1 Q3","Q9","no","NA"
"P1 E1 Q4","Q10","no","NA"
"P1 Q1","Q11","yes",2
"P1 Q2","Q12","yes",3
"P1 Q3","Q13","yes",2
"P1 Q4","Q14","yes",1
"P2 Q1","Q15","yes",5
"P2 Q2","Q16","yes",4
"P2 Q3","Q17","yes",4
"P2 Q4","Q18","yes",5
"P7 E1 Q1","Q19","no","NA"
"P7 E1 Q2","Q20","no","NA"
"P7 E1 Q3","Q21","no","NA"
"P7 E1 Q4","Q22","no","NA"
"P10 E1 Q1","Q23","no","NA"
"P10 E1 Q2","Q24","no","NA"
"P10 E1 Q3","Q25","no","NA"
"P10 E1 Q4","Q26","no","NA"
