TaxonomicGroup,OriginalTaxa,Justification
Achnatherum hymenoides,"Oryzopsis hymenoides, Oryzopsis sp.","O. hymenoides is a synonym, O. sp. could be identified as A. hymenoides"
Antennaria spp.,"Antennaria dimorpha, Antennaria microphylla",uncertainty / inconsistent identification
Artemisia tripartita,"Artemisia sp., Artemisia tridentata",all Artemisia in chart quadrats are A. tripartita
Astragalus filipes,Astragalus stenophyllus,synonym
Astragalus lentiginosus,"Astragalus araneosus, Astragalus salinus",synonym
Astragalus miser,Astragalus miser var. praeteritus,synonym
Astragalus spp.,"Astragalus convallarius, Astragalus diversifolius, Vetch",uncertainty / inconsistent identification
Chrysothamnus viscidiflorus,"Chrysothamnus sp., Chrysothamnus viscidiflorus ssp. puberulus",all Chrysothamnus in chart quadrats are C. viscidiflorus
Collinsia parviflora,"Collinsia sp., Collinsia tenella","C. tenella is a synonym, C. sp. could be identified as C. parviflora"
Comandra umbellata,Comandra sp.,"C. pallida is a synonym, C. sp. could be identified as C. umbellata"
Cordylanthus ramosus,Adenostegia ramosa,synonym
Crepis acuminata,Crepis acuminata,synonym
Crepis acuminata,Crepis sp.,no other species in genera at site
Gutierrezia sarothrae,Gutierrezia sp.,no other species in genera at site
Hesperostipa comata,"Nassella viridula, Stipa columbiana","N. viridula is a synonym, S. columbiana and Achnatherum nelsonii were mapping or digitizing misidentifications, and Stipa sp. could be identified as Hesperostipa comata"
Koeleria macrantha,"Koeleria sp., Koeleria cristata","K. cristata is a synonym, K. sp. could be identified as Koeleria macrantha"
Lepidium densiflorum,"Lepidium sp., L. pubecarpum","L. pubecarpum is a synonym, L sp. could be identified as L. densiflorum"
Linanthus pungens,"Leptodactylon pungens, Gilia pungens, Leptodactylon sp.","Leptodactylon pungens and Gilia pungens are synonyms, Leptodactylon sp. could be identifed as Linanthus pungens"
Lomatium foeniculaceum,"Lomatium macrocarpum, Cogswellia macrocarpa",both likley L. foeniculaceum judging by year-to-year patterns in identification by the mappers 
Lomatium spp.,"Cogswellia sp., Cogswellia jonesii",uncertainty / inconsistent identification
Opuntia polyacantha,Opuntia sp.,no other species in genera at site
Phlox hoodii,"Phlox subulata, Phlox multiflora, Phlox caespitosa, Phlox canescens","all likley P. hooddii, judging by year-to-year patterns in identification by the mappers "
Poa secunda,"Poa curta, Poa cusickii, Poa sp., Poa nevadensis, Poa sandbergii",synonyms
Senecio integerrimus,Senecio lugens,synonym
unknown seedling,Weed seedling,unnecessary label
Viola praemorsa,Viola nuttallii var. linguifolia,exact subspecies is uncertain
